Angular position of the interfering rotor [deg];IFD;IFL
-180.0;0.786407767;1.049514563
-150.0;0.942718447;0.95631068
-120.0;1.137864078;0.9
-90.0;1.290291262;0.819417476
-60.0;1.605825243;0.887378641
-45.0;1.661165049;0.894174757
-30.0;1.889320388;0.905825243
-20.0;1.916504854;0.804854369
-10.0;1.866990291;0.722330097
0.0;2.010679612;0.776699029
10.0;1.762135922;0.9
20.0;1.626213592;0.983495146
30.0;1.460194175;1.008737864
45.0;1.252427184;0.988349515
60.0;1.265048544;1.02038835
90.0;1.141747573;1.07184466
120.0;1.098058252;1.075728155
150.0;1.038834951;1.038834951
180.0;0.784466019;0.784466019
